X,Y,OBJECTID,REF_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,OWNER,OPERNAME,RMP_ID,EPA_ID,POSREL,CAPACITY,US_RANK,CRUDE,VACDIST,COKING,THERMALOP,CATCRACK,CATREFORM,CATHYDCRCK,CATHYDTRT,ALKY,POLDIM,AROMATIC,ISOMER,LUBES,OXYGENATES,HYDRGN,COKE,SULFUR,ASPHALT
-84.6095099999999,37.07113,1,REF210002,SOMERSET,300 REFINERY ROAD,SOMERSET,KY,42501,2974,(606) 679-6301,VERY SMALL REFINERY,IN SERVICE,34,PULASKI,21199,USA,37.07113,-84.60951,324110,PETROLEUM REFINERIES,"EIA-820; EPA ENVIROFACTS",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.continentalrefiningco.com,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING COMPANY LLC,20583,100000167277,WITHIN 166 FEET,5500,134,5500,0,0,0,0,1000,0,2300,0,0,0,0,0,0,0,0,0,0
-111.91,40.86776,2,REF490003,WOODS CROSS,2355 SOUTH 1100 WEST,WOODS CROSS,UT,84087,NOT AVAILABLE,(801) 298-3211,VERY SMALL SIMPLE REFINERY,IN SERVICE,45,DAVIS,49011,USA,40.86776,-111.91,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,33515,100000180699,WITHIN 166 FEET,15000,122,15000,7000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0
-104.94518,39.80175,3,REF080004,COMMERCE CITY EAST,5801 BRIGHTON BLVD,COMMERCE CITY,CO,80022,NOT AVAILABLE,(303) 286-5788,SMALL SIMPLE REFINERY,IN SERVICE,420,ADAMS,08001,USA,39.80175,-104.94518,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.suncor.com,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,38031,100000119347,WITHIN 166 FEET,36000,107,36000,8500,0,0,9000,10000,0,11000,0,0,0,1970,0,0,0,0,2,0
-98.46019,29.3475700000001,4,REF480005,SAN ANTONIO,7811 S PRESA STREET,SAN ANTONIO,TX,78223,3547,(210) 918-7414,SMALL LUBRICANTS REFINERY,IN SERVICE,50,BEXAR,48029,USA,29.34757,-98.46019,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO,50434,100000200846,WITHIN 166 FEET,20000,117,20000,0,0,0,0,5600,0,14000,0,0,0,0,0,0,0,0,0,0
-75.25681,39.84038,5,REF340007,PAULSBORO,800 BILLINGSPORT ROAD,PAULSBORO,NJ,08027,1036,(856) 224-4354,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,427,GLOUCESTER,34015,USA,39.84038,-75.25681,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.pbfenergy.com,PBF ENERGY CO LLC,PAULSBORO REFINING CO LLC,51876,100000056734,WITHIN 166 FEET,160000,44,160000,90000,26500,0,54000,28500,0,144100,11200,0,0,0,12000,0,9,7500,280,21000
-94.90828,29.3676300000001,6,REF480008,TEXAS CITY,1301 LOOP 197 SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 948-7296,LARGE COMPLEX REFINERY,IN SERVICE,509,GALVESTON,48167,USA,29.36763,-94.90828,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,51895,100000107886,WITHIN 166 FEET,225000,32,225000,133500,50825,0,81700,17195,0,286000,14700,0,0,6500,0,0,0,19000,680,0
-94.90798,29.3754200000001,7,REF480009,TEXAS CITY,502 10TH STREET SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 943-7270,SMALL MEDIUM COMPLEXITY REFINERY THAT PROCESSES SWEET CRUDE,IN SERVICE,276,GALVESTON,48167,USA,29.37542,-94.90798,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,52497,100000059214,WITHIN 166 FEET,86000,73,86000,0,0,0,55600,10500,0,0,14500,0,2900,0,0,0,0,0,40,0
-95.01026,29.74285,8,REF480010,BAYTOWN,2800 DECKER DR/4500 BAYWAY DRIVE,BAYTOWN,TX,77520,2127,(281) 834-7342,VERY LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1307,HARRIS,48201,USA,29.74285,-95.01026,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.exxonmobilchemical.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,52558,100000062905,WITHIN 166 FEET,560500,2,560500,297000,91300,0,212500,120000,26500,794000,41000,0,0,0,28000,0,0,22750,1828,0
-89.96916,29.9335800000001,9,REF220011,CHALMETTE,500 WEST ST. BERNARD HWY,CHALMETTE,LA,70043,NOT AVAILABLE,(504) 281-1409,LARGE COMPLEX REFINERY,IN SERVICE,625,ST. BERNARD,22087,USA,29.93358,-89.96916,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://corporate.exxonmobil.com,PBF ENERGY CO LLC,CHALMETTE REFINING LLC,52710,100000093515,WITHIN 166 FEET,190000,37,190000,169000,26000,0,68000,19000,0,188600,16800,0,10500,0,0,0,0,9000,920,10000
-83.45156,41.67947,10,REF390012,TOLEDO,4001 CEDAR POINT ROAD,OREGON,OH,43616,NOT AVAILABLE,(419) 226-1475,MEDIUM COMPLEX REFINERY,IN SERVICE,465,LUCAS,39095,USA,41.67947,-83.45156,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.huskyenergy.com,BP HUSKY REFINING LLC,BP-HUSKY REFINING LLC,53062,100000088683,WITHIN 166 FEET,153000,48,153000,71500,32300,0,52400,40500,28600,113000,11500,0,0,0,0,0,0,10000,353,9000
