OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
1,SOMERSET,300 REFINERY ROAD,SOMERSET,KY,VERY SMALL REFINERY,IN SERVICE,34,PULASKI,37.07113,-84.60951,http://www.continentalrefiningco.com,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING COMPANY LLC,5500,134,5500,https://drive.google.com/uc?id=1ry_aDJNOTRsWp0aYv4q7Aq8UcYON2iFm
2,WOODS CROSS,2355 SOUTH 1100 WEST,WOODS CROSS,UT,VERY SMALL SIMPLE REFINERY,IN SERVICE,45,DAVIS,40.86776,-111.91,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,15000,122,15000,https://drive.google.com/uc?id=1r6yLIb9_pLLFhtV1_Z3d4BHaN8YqTmSD
3,COMMERCE CITY EAST,5801 BRIGHTON BLVD,COMMERCE CITY,CO,SMALL SIMPLE REFINERY,IN SERVICE,420,ADAMS,39.80175,-104.94518,http://www.suncor.com,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,36000,107,36000,https://drive.google.com/uc?id=1WytDZWQOPkbOXcbM0CQvnfmLs8Ul15fR
4,SAN ANTONIO,7811 S PRESA STREET,SAN ANTONIO,TX,SMALL LUBRICANTS REFINERY,IN SERVICE,50,BEXAR,29.34757,-98.46019,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO,20000,117,20000,https://drive.google.com/uc?id=1CjOUqZR2XolRmj6Z4X4W26jjwKll6pBW
5,PAULSBORO,800 BILLINGSPORT ROAD,PAULSBORO,NJ,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,427,GLOUCESTER,39.84038,-75.25681,http://www.pbfenergy.com,PBF ENERGY CO LLC,PAULSBORO REFINING CO LLC,160000,44,160000,https://drive.google.com/uc?id=18to-xjaj-Vp3NMEZYfxRYQKd_9tgnDfz
6,TEXAS CITY,1301 LOOP 197 SOUTH,TEXAS CITY,TX,LARGE COMPLEX REFINERY,IN SERVICE,509,GALVESTON,29.36763,-94.90828,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,225000,32,225000,https://drive.google.com/uc?id=1xA6wCQjpRpZ0FRWB7eo6Jpw-Mnoa04sv
7,TEXAS CITY,502 10TH STREET SOUTH,TEXAS CITY,TX,SMALL MEDIUM COMPLEXITY REFINERY THAT PROCESSES SWEET CRUDE,IN SERVICE,276,GALVESTON,29.37542,-94.90798,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,86000,73,86000,https://drive.google.com/uc?id=1jSD9cUZb7laGJGzKO_mINdR28FBy8kIG
8,BAYTOWN,2800 DECKER DR/4500 BAYWAY DRIVE,BAYTOWN,TX,VERY LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1307,HARRIS,29.74285,-95.01026,http://www.exxonmobilchemical.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,560500,2,560500,https://drive.google.com/uc?id=14QB6hIKqkCMwp497fr3g3mqSvGaDWnU5
9,CHALMETTE,500 WEST ST. BERNARD HWY,CHALMETTE,LA,LARGE COMPLEX REFINERY,IN SERVICE,625,ST. BERNARD,29.93358,-89.96916,http://corporate.exxonmobil.com,PBF ENERGY CO LLC,CHALMETTE REFINING LLC,190000,37,190000,https://drive.google.com/uc?id=1Wadf3nQyhN4InZcG3CFWG2unTysYoyxM
10,TOLEDO,4001 CEDAR POINT ROAD,OREGON,OH,MEDIUM COMPLEX REFINERY,IN SERVICE,465,LUCAS,41.67947,-83.45156,http://www.huskyenergy.com,BP HUSKY REFINING LLC,BP-HUSKY REFINING LLC,153000,48,153000,https://drive.google.com/uc?id=1BJ_RRlvX0pQKQy8TyDoywLnO1nM8pvKZ
